0.0000000,0.0000000,0.0000000
0.0000227,11928.0000000,11928.0000000
0.0000454,22191.0000000,22191.0000000
0.0000680,29392.0000000,29392.0000000
0.0000907,32628.0000000,32628.0000000
0.0001134,31624.0000000,31624.0000000
0.0001361,26773.0000000,26773.0000000
0.0001587,19047.0000000,19047.0000000
0.0001814,9823.0000000,9823.0000000
0.0002041,643.0000000,643.0000000
0.0002268,-7051.0000000,-7051.0000000
0.0002494,-12160.0000000,-12160.0000000
0.0002721,-14094.0000000,-14094.0000000
0.0002948,-12857.0000000,-12857.0000000
0.0003175,-9016.0000000,-9016.0000000
0.0003401,-3574.0000000,-3574.0000000
0.0003628,2235.0000000,2235.0000000
0.0003855,7183.0000000,7183.0000000
0.0004082,10277.0000000,10277.0000000
0.0004308,10944.0000000,10944.0000000
0.0004535,9124.0000000,9124.0000000
0.0004762,5274.0000000,5274.0000000
0.0004989,261.0000000,261.0000000
0.0005215,-4808.0000000,-4808.0000000
0.0005442,-8819.0000000,-8819.0000000
0.0005669,-10870.0000000,-10870.0000000
0.0005896,-10459.0000000,-10459.0000000
0.0006122,-7589.0000000,-7589.0000000
0.0006349,-2788.0000000,-2788.0000000
0.0006576,2988.0000000,2988.0000000
0.0006803,8525.0000000,8525.0000000
0.0007029,12576.0000000,12576.0000000
0.0007256,14108.0000000,14108.0000000
0.0007483,12501.0000000,12501.0000000
0.0007710,7692.0000000,7692.0000000
0.0007937,214.0000000,214.0000000
0.0008163,-8877.0000000,-8877.0000000
0.0008390,-18167.0000000,-18167.0000000
0.0008617,-26110.0000000,-26110.0000000
0.0008844,-31301.0000000,-31301.0000000
0.0009070,-32717.0000000,-32717.0000000
0.0009297,-29904.0000000,-29904.0000000
0.0009524,-23069.0000000,-23069.0000000
0.0009751,-13055.0000000,-13055.0000000
0.0009977,-1221.0000000,-1221.0000000
0.0010204,10784.0000000,10784.0000000
0.0010431,21283.0000000,21283.0000000
0.0010658,28841.0000000,28841.0000000
0.0010884,32496.0000000,32496.0000000
0.0011111,31909.0000000,31909.0000000
0.0011338,27408.0000000,27408.0000000
0.0011565,19912.0000000,19912.0000000
0.0011791,10769.0000000,10769.0000000
0.0012018,1516.0000000,1516.0000000
0.0012245,-6383.0000000,-6383.0000000
0.0012472,-11786.0000000,-11786.0000000
0.0012698,-14048.0000000,-14048.0000000
0.0012925,-13111.0000000,-13111.0000000
0.0013152,-9492.0000000,-9492.0000000
0.0013379,-4156.0000000,-4156.0000000
0.0013605,1674.0000000,1674.0000000
0.0013832,6758.0000000,6758.0000000
0.0014059,10072.0000000,10072.0000000
0.0014286,10992.0000000,10992.0000000
0.0014512,9409.0000000,9409.0000000
0.0014739,5728.0000000,5728.0000000
0.0014966,784.0000000,784.0000000
0.0015193,-4331.0000000,-4331.0000000
0.0015420,-8494.0000000,-8494.0000000
0.0015646,-10771.0000000,-10771.0000000
0.0015873,-10615.0000000,-10615.0000000
0.0016100,-7976.0000000,-7976.0000000
0.0016327,-3330.0000000,-3330.0000000
0.0016553,2400.0000000,2400.0000000
0.0016780,8018.0000000,8018.0000000
0.0017007,12270.0000000,12270.0000000
0.0017234,14089.0000000,14089.0000000
0.0017460,12809.0000000,12809.0000000
0.0017687,8307.0000000,8307.0000000
0.0017914,1055.0000000,1055.0000000
0.0018141,-7934.0000000,-7934.0000000
0.0018367,-17273.0000000,-17273.0000000
0.0018594,-25418.0000000,-25418.0000000
0.0018821,-30938.0000000,-30938.0000000
0.0019048,-32763.0000000,-32763.0000000
0.0019274,-30375.0000000,-30375.0000000
0.0019501,-23914.0000000,-23914.0000000
0.0019728,-14164.0000000,-14164.0000000
0.0019955,-2440.0000000,-2440.0000000
0.0020181,9625.0000000,9625.0000000
0.0020408,20345.0000000,20345.0000000
0.0020635,28249.0000000,28249.0000000
0.0020862,32321.0000000,32321.0000000
0.0021088,32155.0000000,32155.0000000
0.0021315,28012.0000000,28012.0000000
0.0021542,20760.0000000,20760.0000000
0.0021769,11714.0000000,11714.0000000
0.0021995,2403.0000000,2403.0000000
0.0022222,-5690.0000000,-5690.0000000
0.0022449,-11381.0000000,-11381.0000000
0.0022676,-13969.0000000,-13969.0000000
0.0022902,-13338.0000000,-13338.0000000
0.0023129,-9949.0000000,-9949.0000000
0.0023356,-4732.0000000,-4732.0000000
0.0023583,1105.0000000,1105.0000000
0.0023810,6315.0000000,6315.0000000
0.0024036,9842.0000000,9842.0000000
0.0024263,11015.0000000,11015.0000000
0.0024490,9672.0000000,9672.0000000
0.0024717,6169.0000000,6169.0000000
0.0024943,1305.0000000,1305.0000000
0.0025170,-3844.0000000,-3844.0000000
0.0025397,-8149.0000000,-8149.0000000
0.0025624,-10648.0000000,-10648.0000000
0.0025850,-10745.0000000,-10745.0000000
0.0026077,-8341.0000000,-8341.0000000
0.0026304,-3862.0000000,-3862.0000000
0.0026531,1811.0000000,1811.0000000
0.0026757,7498.0000000,7498.0000000
0.0026984,11939.0000000,11939.0000000
0.0027211,14040.0000000,14040.0000000
0.0027438,13085.0000000,13085.0000000
0.0027664,8893.0000000,8893.0000000
0.0027891,1879.0000000,1879.0000000
0.0028118,-6994.0000000,-6994.0000000
0.0028345,-16367.0000000,-16367.0000000
0.0028571,-24700.0000000,-24700.0000000
0.0028798,-30539.0000000,-30539.0000000
0.0029025,-32766.0000000,-32766.0000000
0.0029252,-30805.0000000,-30805.0000000
0.0029478,-24725.0000000,-24725.0000000
0.0029705,-15253.0000000,-15253.0000000
0.0029932,-3656.0000000,-3656.0000000
0.0030159,8452.0000000,8452.0000000
